STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACMC,ACMH,ACSC,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-01,,,,,,,,0.00,,0.0,2.0,,29,,,,,,,,0.2,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-02,,,,,,,,0.00,,0.0,1.0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-03,,,,,,,,0.00,,0.0,1.0,,38,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,1,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-04,,,,,,,,0.00,,0.0,0.0,,42,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-05,,,,,,,,0.05,,0.5,0.0,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-06,,,,,,,,0.00,,0.0,1.0,,20,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-07,,,,,,,,0.05,,0.7,1.0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-08,,,,,,,,0.18,,1.8,1.0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-09,,,,,,,,0.00,,0.0,3.0,,14,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-10,,,,,,,,0.00,,0.0,3.0,,16,,,,,,,,0.2,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-11,,,,,,,,0.01,,0.1,3.0,,18,,,,,,,,0.2,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-12,,,,,,,,0.00,,0.0,3.0,,19,,,,,,,,0.2,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-13,,,,,,,,0.00,,0.0,3.0,,26,,,,,,,,0.2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-14,,,,,,,,0.01,,0.1,2.0,,19,,,,,,,,0.2,,,,,,1,,,,,,,1,1,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-15,,,,,,,,0.02,,0.2,2.0,,15,,,,,,,,0.2,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-16,,,,,,,,0.00,,0.0,3.0,,30,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-17,,,,,,,,0.01,,0.1,2.0,,35,,,,,,,,0.2,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-18,,,,,,,,0.00,,0.0,2.0,,31,,,,,,,,0.2,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-19,,,,,,,,0.00,,0.0,2.0,,38,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-20,,,,,,,,0.02,,0.2,1.0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-21,,,,,,,,0.00,,0.0,1.0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-22,,,,,,,,0.00,,0.0,1.0,,39,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-23,,,,,,,,0.00,,0.0,0.0,,38,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-24,,,,,,,,0.05,,0.7,0.0,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-25,,,,,,,,0.00,,0.0,1.0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-26,,,,,,,,0.00,,0.0,1.0,,31,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-27,,,,,,,,0.06,,0.3,1.0,,39,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,1,,1,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-28,,,,,,,,0.00,,0.0,0.0,,39,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
USW00094847,"DETROIT METRO AIRPORT, MI US",42.23113,-83.33121,191.9,1958-12-29,,,,,,,,0.00,,0.0,0.0,,43,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,1,,,,,,,
